Phase,Precision,Recall,F1,PR_AUC,Threshold
P,0.9765281173594133,0.9935323383084577,0.9849568434032059,0.9988316110669916,0.3
S,0.9748412310698583,0.9927860696517413,0.9837318215430121,0.9987959642110101,0.3
N,0.974609375,0.9930348258706467,0.9837358304583539,0.9986550309032001,0.3
