Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.9800639921240463,0.9905472636815921,0.9852777434120995,0.9990641758890905,0.25
S,0.9776960784313725,0.9922885572139304,0.9849382716049383,0.9991331566788331,0.25
