Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.9801931171081951,0.9848258706467662,0.9825040327584067,0.9989663623253348,0.35
S,0.9797730636408486,0.9880597014925373,0.9838989348526134,0.9989711646917028,0.35
