Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.984087518647439,0.9845771144278607,0.9843322556577966,0.9990591373370917,0.4
S,0.9831516352824579,0.9870646766169154,0.9851042701092354,0.9991012284306927,0.4
