Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.9816285998013903,0.9835820895522388,0.9826043737574552,0.9986160942596763,0.3
S,0.9780788177339902,0.9878109452736319,0.9829207920792079,0.998664232190361,0.3
N,0.9785502958579881,0.9873134328358208,0.9829123328380386,0.9985606266251125,0.3
