Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.9716935090287946,0.9905472636815921,0.981029810298103,0.9986156516987199,0.2
S,0.9700292397660819,0.9902985074626866,0.9800590841949779,0.9985422266078081,0.2
