Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.9845771144278607,0.9845771144278607,0.9845771144278607,0.995115267073534,0.3
S,0.9840796019900497,0.9840796019900497,0.9840796019900497,0.9974535012364153,0.3
N,0.9818633540372671,0.9830845771144279,0.9824735860783095,0.9972909932606298,0.3
