Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.9848334162108404,0.9853233830845771,0.985078338721711,0.9989236108969061,0.45
S,0.9838869608329202,0.9873134328358208,0.9855972187732803,0.9989483946195106,0.45
