Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.9814814814814815,0.9888059701492538,0.9851301115241635,0.9989960525135725,0.3
S,0.9795868175110674,0.9907960199004975,0.9851595349987633,0.9990116697447323,0.3
N,0.9764648198087766,0.9907960199004975,0.9835782195332757,0.9989732378446035,0.3
