Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.8889138240574507,0.9853233830845771,0.9346389806512506,0.9929649805941727,0.3
S,0.9747587230883444,0.9798507462686568,0.97729810197246,0.992970525726893,0.3
N,0.9699876998769987,0.9808457711442786,0.9753865182436611,0.9925413110952037,0.3
