Phase,Precision,Recall,F1-Score,PR_AUC,Threshold_for_PRF1
P,0.9661553445337229,0.9870646766169154,0.9764980927771626,0.9978471748847619,0.3
S,0.968009768009768,0.9860696517412936,0.9769562538508934,0.9977890972536864,0.3
N,0.9665935137771275,0.9860696517412936,0.9762344538849895,0.9979169377515157,0.3
